date,open,high,low,close,volume
1988-12-12,1.8450,1.8584,1.8305,1.8305,9828
1988-12-13,1.8170,1.8305,1.7891,1.7891,88278
1988-12-14,1.8170,1.8170,1.7611,1.7891,202548
1988-12-15,1.7891,1.8036,1.7757,1.7757,85398
1988-12-16,1.7757,1.7757,1.7332,1.7611,22398
1988-12-19,1.7891,1.8450,1.7891,1.8170,41250
1988-12-20,1.8305,1.8450,1.8170,1.8170,17124
1988-12-21,1.8170,1.8170,1.8036,1.8170,190002
1988-12-22,1.8305,1.8305,1.8036,1.8036,59250
1988-12-23,1.8170,1.8450,1.8170,1.8305,4578
1988-12-27,1.8305,1.8450,1.8305,1.8305,9324
1988-12-28,1.8450,1.8584,1.8305,1.8305,28848
1988-12-29,1.8305,1.8584,1.8305,1.8584,66198
1988-12-30,1.8305,1.8450,1.8170,1.8450,70128
1989-01-03,1.8730,1.8730,1.8584,1.8730,15600
1989-01-04,1.8584,1.8730,1.8584,1.8730,38526
1989-01-05,1.8864,1.8864,1.8730,1.8730,23928
1989-01-06,1.8730,1.8864,1.8730,1.8730,9828
1989-01-09,1.8864,1.9154,1.8864,1.9154,147876
1989-01-10,1.9434,1.9702,1.9434,1.9568,306474
1989-01-11,1.9568,1.9702,1.9568,1.9702,26298
1989-01-12,1.9982,2.0552,1.9982,2.0407,174876
1989-01-13,2.0407,2.0407,2.0127,2.0127,119028
1989-01-16,1.9982,1.9982,1.9848,1.9982,174198
1989-01-17,1.9982,1.9982,1.9568,1.9568,22902
1989-01-18,2.0127,2.0686,1.9982,2.0686,113928
1989-01-19,2.0686,2.0686,2.0261,2.0552,18150
1989-01-20,2.0407,2.0552,2.0407,2.0552,57048
1989-01-23,2.0686,2.0686,2.0552,2.0552,267426
1989-01-24,2.0686,2.0966,2.0686,2.0966,214278
1989-01-25,2.1100,2.1100,2.0966,2.1100,23928
1989-01-26,2.1100,2.1380,2.1100,2.1380,27828
1989-01-27,2.1245,2.1805,2.1245,2.1525,45828
1989-01-30,2.1659,2.1805,2.1525,2.1659,277950
1989-01-31,2.1805,2.1950,2.1659,2.1950,54324
1989-02-01,2.1659,2.1659,2.1525,2.1659,34128
1989-02-02,2.1245,2.1245,2.0966,2.0966,54324
1989-02-03,2.0966,2.1380,2.0966,2.1380,57378
1989-02-06,2.1245,2.1245,2.0966,2.0966,166398
1989-02-07,2.0966,2.1525,2.0966,2.1380,61452
1989-02-08,2.1380,2.1659,2.1380,2.1659,82500
1989-02-09,2.1659,2.1950,2.1380,2.1380,133098
1989-02-10,2.1100,2.1245,2.1100,2.1100,175728
1989-02-13,2.0966,2.0966,2.0832,2.0966,30378
1989-02-14,2.1245,2.1525,2.1100,2.1100,43278
1989-02-15,2.1100,2.1245,2.0966,2.1245,52626
1989-02-16,2.0261,2.0407,2.0127,2.0127,381348
1989-02-17,1.9702,1.9848,1.9568,1.9848,128028
1989-02-21,1.9982,1.9982,1.9848,1.9982,29376
1989-02-22,2.0127,2.0261,1.9848,1.9848,84552
1989-02-23,2.0127,2.0261,2.0127,2.0261,91002
1989-02-24,1.9982,1.9982,1.9848,1.9848,4074
1989-02-27,1.9154,1.9434,1.9009,1.9289,223950
1989-02-28,1.9568,1.9982,1.9568,1.9982,105276
1989-03-01,2.0407,2.0686,2.0407,2.0407,31578
1989-03-02,2.0686,2.1659,2.0686,2.1525,101202
1989-03-03,2.1380,2.1950,2.1380,2.1805,89298
1989-03-06,2.1525,2.1805,2.1525,2.1805,129876
1989-03-07,2.1380,2.1380,2.1100,2.1100,80652
1989-03-08,2.1100,2.1245,2.1100,2.1245,88452
1989-03-09,2.1245,2.1245,2.0966,2.0966,74202
1989-03-10,2.1100,2.1100,2.0966,2.1100,10002
1989-03-13,2.1245,2.1380,2.1245,2.1245,41076
1989-03-14,2.1100,2.1100,2.0832,2.1100,43974
1989-03-15,2.1100,2.1100,2.0966,2.1100,56202
1989-03-16,2.1100,2.1525,2.1100,2.1380,91176
1989-03-17,2.1380,2.1380,2.0966,2.1100,38526
1989-03-20,2.1245,2.1245,2.1245,2.1245,52626
1989-03-21,2.1380,2.1525,2.1380,2.1525,15102
1989-03-22,2.1659,2.1659,2.1245,2.1245,78276
1989-03-23,2.1691,2.1975,2.1691,2.1975,18828
1989-03-27,2.1838,2.2122,2.1691,2.1975,14748
1989-03-28,2.2270,2.2553,2.2122,2.2122,78600
1989-03-29,2.2270,2.2270,2.2122,2.2270,39048
1989-03-30,2.2270,2.2270,2.2122,2.2270,14424
1989-03-31,2.2122,2.2122,2.1975,2.2122,15948
1989-04-03,2.1838,2.2270,2.1838,2.2122,71478
1989-04-04,2.1975,2.2122,2.1975,2.2122,295950
1989-04-05,2.1271,2.1407,2.1271,2.1407,230928
1989-04-06,2.1407,2.1555,2.1271,2.1271,7974
1989-04-07,2.1271,2.1407,2.1271,2.1407,19176
1989-04-10,2.1271,2.1407,2.1271,2.1271,221928
1989-04-11,2.1407,2.1407,2.1407,2.1407,22578
1989-04-12,2.1975,2.2122,2.1838,2.2122,155700
1989-04-13,2.1838,2.1838,2.1555,2.1691,42774
1989-04-14,2.1838,2.2122,2.1838,2.2122,47874
1989-04-17,2.1838,2.1975,2.1838,2.1975,180324
1989-04-18,2.1975,2.1975,2.1838,2.1838,121902
1989-04-19,2.1975,2.2122,2.1838,2.2122,32076
1989-04-20,2.2270,2.2270,2.1838,2.1838,104250
1989-04-21,2.2122,2.2122,2.1975,2.2122,22398
1989-04-24,2.1975,2.1975,2.1838,2.1975,7128
1989-04-25,2.2122,2.2270,2.2122,2.2122,132774
1989-04-26,2.2122,2.2122,2.1975,2.1975,49902
1989-04-27,2.2122,2.2270,2.2122,2.2270,46002
1989-04-28,2.2406,2.2406,2.2122,2.2270,15948
1989-05-01,2.2270,2.2270,2.2122,2.2270,4398
1989-05-02,2.2406,2.2406,2.2270,2.2270,158748
1989-05-03,2.2553,2.2689,2.2406,2.2406,71478
1989-05-04,2.2553,2.2973,2.2553,2.2973,91848
1989-05-05,2.3109,2.3393,2.2973,2.3256,441300
1989-05-08,2.2973,2.2973,2.2689,2.2825,172848
1989-05-09,2.2406,2.2406,2.2270,2.2406,249426
1989-05-10,2.2553,2.3109,2.2553,2.3109,437052
